FY2022 ISD External Certified Public Accounting Firms,Regions,,,,,,,,,,,,,,,,,,,,
Firms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Total
"ABIP, PC",,,,,,,,,,,,,2,,,,,,,7,9
"Alexander, Lankford & Hiers, Inc.",,,,,,,4,,,,,,,,,,,,,,4
"Anderson, Marx & Bohl, P.C.",,,,,,,1,,,5,,9,,,,,,,,,15
"Armstrong, Vaughan & Associates, P.C.",,1,,,,2,,,,,,,2,,,,,,,6,11
"Arnold, Walker, Arnold & Co., P.C.",,,,,,,1,10,,,,,,,,,,,,,11
"Axley & Rode, LLP - Lufkin",,,,,4,11,15,,,,,,,,,,,,,,30
"Belt Harris Pechacek, LLLP - Houston",,,3,5,1,15,2,,,,,,4,,1,,,,,2,33
Bennett Bennett & Trice PLLC,,,,,,,,,,,,,,,,,4,,,,4
"Bolinger, Segars, Gilbert & Moss, L.L.P.",,,,,,,,,,,,,,1,1,4,25,7,,,38
"Brockway, Gersbach, Franklin & Niemeier, P.C.",,,,,,1,,,,,,,,,,,,,,,1
"Brown, Graham & Company., P.C.",,,,,,,,,,,,,,,,14,,,,,14
"Burton McCumber & Longoria, L.L.P. - McAllen",1,,,,,,,,,,,,,,,,,,,,1
Cameron L. Gulley,,6,2,,,,,,7,,4,12,1,11,7,,,,,3,53
"Carr, Riggs & Ingram, LLC - Harlingen",7,,,,,,,,,,,,,,,,,,,,7
"Carr, Riggs & Ingram, LLC - McAllen",5,,,,,,,,,,,,,,,,,,,,5
"Cascos & Associates, PC",10,,,,,,,,,,,,,,,,,,,,10
CMMS CPAs & Advisors PLLC - Levelland,,,,,,,,,,,,,,,,,2,,,,2
CMMS CPAs & Advisors PPLC - Amarillo,,,,,,,,,,,,,,,,1,,,,,1
"Coleman, Horton & Company, LLP",,1,,,,,,,,,,,,,1,,,,,15,17
"Collier, Johnson & Woods, P.C.",,1,,,,,,,,,,,,,,,,,,,1
"Coy Barton, CPA",,,,,,,,,,,,,,,,6,,,,,6
"Davis, Heinemann & Company, P.C.",,,,,,6,,,,,,,,,,,,,,,6
"Davis, Ray & Co., P.C.",,,,,,,,,,,,,,,,,1,,,,1
"Eckert & Company, LLP",,,,,,,,,,,,,,,19,,,14,,,33
"Ede & Company, LLC",,,,,,,,,,,,,,,5,,,,,2,7
"Edgin, Parkman, Fleming & Fleming, PC",,,,,,,,,18,2,4,,,1,,1,,,,,26
